algorithm,version,parameters,cpu,cores,ram_gib,os,iterations,warmup_iterations,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,latency_classification,requested_allocation_bytes,resident_memory_bytes,kdf_working_memory_bytes,ram_classification,bytes_read,bytes_written,estimated_bandwidth_gb_per_sec,cache_locality_tier,bandwidth_classification
argon2id,0.5.0,"memory_kib=8192,time_cost=1,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,7.3406,7.3406,7.4975,7.4975,7.2511,7.4975,Measured,8388608,0,8388608,Estimated,8388608,8388608,0.7073592524853775,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=1,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,5.9487000000000005,5.9487000000000005,6.6013,6.6013,5.4935,6.6013,Measured,8388608,0,8388608,Estimated,8388608,8388608,0.8659628120929974,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=1,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,6.4958,6.4958,7.3982,7.3982,6.3581,7.3982,Measured,8388608,0,8388608,Estimated,8388608,8388608,0.7715249282790426,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=2,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,10.769300000000001,10.769300000000001,11.183399999999999,11.183399999999999,9.7257,11.183399999999999,Measured,8388608,0,8388608,Estimated,16777216,16777216,0.986476589726754,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=2,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,11.5201,11.5201,11.607,11.607,9.7757,11.607,Measured,8388608,0,8388608,Estimated,16777216,16777216,0.9497671930656358,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=2,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,10.8781,10.8781,12.0967,12.0967,10.3217,12.0967,Measured,8388608,0,8388608,Estimated,16777216,16777216,0.9385370834772424,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=3,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,15.0694,15.0694,15.4848,15.4848,14.736,15.4848,Measured,8388608,0,8388608,Estimated,25165824,25165824,1.034992117500033,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=3,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,15.038499999999999,15.038499999999999,15.8754,15.8754,14.8999,15.8754,Measured,8388608,0,8388608,Estimated,25165824,25165824,1.0231633263339868,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=3,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,15.646500000000001,15.646500000000001,17.3068,17.3068,15.456100000000001,17.3068,Measured,8388608,0,8388608,Estimated,25165824,25165824,0.9683036765586849,L3 Cache Hit (256KB-16MB),Estimated
argon2id,0.5.0,"memory_kib=8192,time_cost=4,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,21.7824,21.7824,23.5689,23.5689,20.3518,23.5689,Measured,8388608,0,8388608,Estimated,33554432,33554432,0.951248875623829,L3 Cache Hit (256KB-16MB),Estimated
